First Aurthor,Year,Title,Type
Fernando T,2018,Task specific visual saliency prediction with memory augmented conditional generative adversarial networks,Conference
Li R,2018,Single image dehazing via conditional generative adversarial network,Conference
Chen J,2018,Image blind denoising with generative adversarial network based noise modeling,Conference
Kabkab M,2018,Task-aware compressed sensing with generative adversarial networks,Conference
Wang L,2018,High-quality facial photo-sketch synthesis using multi-adversarial networks,Conference
Zhu X,2018,Emotion classification with data augmentation using generative adversarial networks,Conference
Hong W,2018,Conditional generative adversarial network for structured domain adaptation,Conference
Kossaifi J,2018,GAGAN: Geometry-aware generative adversarial networks,Conference
Wang T,2018,High-resolution image synthesis and semantic manipulation with conditional gans,Conference
Chen Y,2018,CartoonGAN: Generative adversarial networks for photo cartoonization,Conference
Chou C,2018,Self adversarial training for human pose estimation,Conference
Hoang Q,2018,MGAN: Training generative adversarial nets with multiple generators,Conference
Qi G,2018,Global versus localized generative adversarial nets,Conference
Zhao B,2018,Modular generative adversarial networks,Conference
Chen Y,2018,Efficient and accurate MRI super-resolution using a generative adversarial network and 3D multi-Level densely connected network,Conference
Grover A,2018,Flow-GAN: Combining maximum likelihood and adversarial learning in generative models,Conference
Lettry L,2018,DARN: a deep adversarial residual network for intrinsic image decomposition,Conference
Hu L,2018,Duplex generative adversarial network for unsupervised domain adaptation,Conference
Perera P,2018,In2I: Unsupervised multi-image-to-image translation using generative adversarial networks,Conference
Bora A,2018,AmbientGAN: Generative models from lossy measurements,Conference
Tom F,2018,Simulating patho-realistic ultrasound images using deep generative networks with adversarial learning,Conference
Davaslioglu K,2018,Generative adversarial learning for spectrum sensing,Conference
Yazdanbakhsh A,2018,FlexiGAN: An end-to-end solution for FPGA acceleration of generative adversarial networks,Conference
Park N,2018,MMGAN: Manifold-matching generative adversarial networks,Conference
Oyamada K,2018,Generative adversarial network-based approach to signal reconstruction from magnitude spectrogram,Conference
Chen C,2018,Semantic-aware generative adversarial nets for unsupervised domain adaptation in chest x-ray segmentation,Conference
Ghamisi P,2018,IMG2DSM: Height simulation from single imagery using conditional generative adversarial net,Conference
Li C,2018,Fast-converging conditional generative adversarial networks for image synthesis,Conference
Yin C,2018,An enhancing framework for botnet detection using generative adversarial networks,Conference
Wang z,2018,Face aging with identity-preserved conditional generative adversarial networks,Conference
Lucic M,2018,Are GANs created equal? A large-scale study,Conference
Khrulkov V ,2018,Geometry Score: A method for comparing generative adversarial networks,Conference
Ghafoorian M,2018,EL-GAN: embedding loss driven generative adversarial networks for lane detection,Conference
Jolicoeur-Martineau A,2018,The relativistic discriminator: a key element missing from standard GAN,arXiv
Yi X,2018,Generative adversarial network in medical imaging: A review,arXiv
Mao X ,2018,Unpaired multi-domain image generation via regularized conditional GANs ,arXiv
Agustsson E,2018,Generative adversarial networks for extreme learned image compression,arXiv
Bodnar C,2018,Text to image synthesis using generative adversarial networks,arXiv
Demir U,2018,Patch-based image inpainting with generative adversarial networks,arXiv
Kurach K,2018,"The GAN landscape: Losses, architectures, regularization, and normalization",arXiv
Hitawala S,2018,Comparative study on generative adversarial networks,arXiv
Xu Q,2018,An empirical study on evaluation metrics of generative adversarial networks,arXiv
Xie L,2018,Differentially private generative adversarial network,arXiv
Chen Z,2018,High resolution face completion with multiple controllable attributes via fully end-to-end progressive generative adversarial networks,arXiv
Kumar A,2018,Deformable medical image registration using generative adversarial networks,arXiv
Li P,2018,Global and local consistent age generative adversarial networks,arXiv
Chen T,2018,On self modulation for generative adversarial networks,arXiv
Zanjani F ,2018,Stain normalization of histopathology images using generative adversarial networks,arXiv
Cao N,2018,MolGAN: An implicit generative model for small molecular graphs,arXiv
Tripathi S ,2018,Correction by projection: Denoising images with generative adversarial networks,arXiv
Mahmood R,2018,Automated treatment planning in radiation therapy using generative adversarial networks,arXiv
Karras T,2018,A style-based generator architecture for generative adversarial networks,arXiv
Mao X,2018,On the effectiveness of least squares generative adversarial networks,Journal
Paganini M,2018,Accelerating science with generative adversarial networks: an application to 3D particle showers in multilayer calorimeters,Journal
Paganini M,2018,CaloGAN: Simulating 3D high energy particle showers in multilayer electromagnetic calorimeters with generative adversarial networks,Journal
Douzas G,2018,Effective data generation for imbalanced learning using conditional generative adversarial networks,Journal
Creswell A ,2018,Generative adversarial networks: An overview,Journal
Yang G,2018,DAGAN: deep de-aliasing generative adversarial networks for fast compressed sensing MRI reconstruction,Journal
Yang Q,2018,Low-dose CT image denoising using a generative adversarial network with Wasserstein distance and perceptual loss,Journal
Chen Y,2018,Model-free renewable scenario generation using generative adversarial networks,Journal
Creswell A ,2018,Inverting the generator of a generative adversarial network,Journal
Quan T,2018,Compressed sensing MRI reconstruction using a generative adversarial network with a cyclic loss,Journal
Zhu L,2018,Generative adversarial networks for hyperspectral image classification,Journal
Wang C,2018,Perceptual adversarial networks for image-to-image transformation,Journal
Zhan Y,2018,Semisupervised hyperspectral image classification based on generative adversarial networks,Journal
Wang Y,2018,3D conditional generative adversarial networks for high-quality PET image estimation at low dose,Journal
Yi X,2018,Sharpness-aware low-dose CT denoising using conditional generative adversarial network,Journal
Shi Q,2018,Road detection from remote sensing images by generative adversarial networks,Journal
Huo Y,2018,Splenomegaly segmentation using global convolutional kernels and conditional generative adversarial networks,Journal
Liu Y,2018,Auto-painter: Cartoon image generation from sketch by using conditional Wasserstein generative adversarial networks,Journal
Tang B,2018,Digital signal modulation classification with data augmentation using generative adversarial nets in cognitive radio networks,Journal
